costOfRevenue,currency,ebit,filingType,fiscalDate,fiscalQuarter,fiscalYear,grossProfit,incomeTax,interestIncome,minorityInterest,netIncome,netIncomeBasic,operatingExpense,operatingIncome,otherIncomeExpenseNet,pretaxIncome,reportDate,researchAndDevelopment,sellingGeneralAndAdmin,symbol,totalRevenue
11618000000,USD,5577000000,10-K,2023-01-29,0,2023,15356000000,-187000000,-5000000,0,4368000000,4368000000,21397000000,5577000000,0,4181000000,2023-02-24,7339000000,2440000000,NVDA,26974000000
9439000000,USD,10041000000,10-K,2022-01-30,0,2022,17475000000,189000000,207000000,0,9752000000,9752000000,16873000000,10041000000,0,9941000000,2022-03-18,5268000000,2166000000,NVDA,26914000000
6279000000,USD,4532000000,10-K,2021-01-31,0,2021,10396000000,77000000,127000000,0,4332000000,4332000000,12143000000,4532000000,0,4409000000,2021-02-26,3924000000,1940000000,NVDA,16675000000
4150000000,USD,2846000000,10-K,2020-01-26,0,2020,6768000000,174000000,-126000000,0,2796000000,2796000000,8072000000,2846000000,0,2970000000,2020-02-20,2829000000,1093000000,NVDA,10918000000
4545000000,USD,3804000000,10-K,2019-01-27,0,2019,7171000000,-245000000,-78000000,0,4141000000,4141000000,7912000000,3804000000,0,3896000000,2019-02-21,2376000000,991000000,NVDA,11716000000
3892000000,USD,3210000000,10-K,2018-01-28,0,2018,5822000000,149000000,-8000000,0,3047000000,3047000000,6504000000,3210000000,0,3196000000,2018-02-28,1797000000,815000000,NVDA,9714000000
2847000000,USD,1937000000,10-K,2017-01-29,0,2017,4063000000,239000000,4000000,0,1666000000,1666000000,4973000000,1937000000,0,1905000000,2017-03-01,1463000000,663000000,NVDA,6910000000
2199000000,USD,878000000,10-K,2016-01-31,0,2016,2811000000,129000000,8000000,0,614000000,614000000,4132000000,878000000,0,743000000,2016-03-17,1331000000,602000000,NVDA,5010000000
2082030000,USD,758989000,10-K,2015-01-25,0,2015,2599477000,124249000,18043000,0,630587000,630587000,3922518000,758989000,0,754836000,2015-03-12,1359725000,480763000,NVDA,4681507000
1862399000,USD,496227000,10-K,2014-01-26,0,2014,2267763000,70264000,-6676000,0,439990000,439990000,3633935000,496227000,0,510254000,2014-03-13,1335834000,435702000,NVDA,4130162000
2053816000,USD,648239000,10-K,2013-01-27,0,2013,2226343000,99503000,-16614000,0,562536000,562536000,3631920000,648239000,0,662039000,2013-03-12,1147282000,430822000,NVDA,4280159000
1941413000,USD,648299000,10-K,2012-01-29,0,2012,2056517000,82306000,-16060000,0,581090000,581090000,3349631000,648299000,0,663396000,2012-03-13,1002605000,405613000,NVDA,3997930000
2134219000,USD,198747000,10-K,2011-01-30,0,2011,1409090000,18023000,-15930000,0,253146000,253146000,3344562000,198747000,0,271169000,2011-03-16,848830000,361513000,NVDA,3543309000
2149522000,USD,-98945000,10-K,2010-01-31,0,2010,1176923000,-14307000,-19795000,0,-67987000,-67987000,3425390000,-98945000,0,-82294000,2010-03-18,908851000,367017000,NVDA,3326445000
2250590000,USD,-43832000,10-K,2009-01-25,0,2009,1174269000,-12913000,-42453000,0,-30041000,-30041000,3468691000,-43832000,0,-42954000,2009-03-13,855879000,362222000,NVDA,3424859000
2228580000,USD,836346000,10-K,2008-01-27,0,2008,1869280000,103696000,-64235000,0,797645000,797645000,3261514000,836346000,0,901341000,2008-03-21,691637000,341297000,NVDA,4097860000
1768322000,USD,453452000,10-K,2007-01-28,0,2007,1300449000,46350000,-41799000,0,448834000,448834000,2615319000,453452000,0,494480000,2007-03-16,553467000,293530000,NVDA,3068771000
1465654000,USD,350822000,10-K/A,2006-01-29,0,2006,910033000,55612000,-20626000,0,301176000,301176000,2024865000,350822000,0,356788000,2006-11-29,357123000,202088000,NVDA,2375687000
1360547000,USD,113593000,10-K,2005-01-30,0,2005,649486000,25089000,-11258000,0,100356000,100356000,1896440000,113593000,0,125445000,2005-03-22,335104000,200789000,NVDA,2010033000
1294067000,USD,93657000,10-K,2004-01-25,0,2004,528878000,12254000,-6551000,0,74419000,74419000,1729288000,93657000,0,86673000,2004-03-29,269972000,165249000,NVDA,1822945000
1333435000,USD,143986000,10K,2003-01-26,0,2003,576012000,59758000,0,0,90799000,90799000,1765461000,143986000,0,150557000,2003-04-25,224873000,151485000,NVDA,1909447000
850233000,USD,255449000,10K,2002-01-27,0,2002,519238000,75825000,-11708000,0,176924000,176924000,1114022000,255449000,0,252749000,2002-05-14,153920000,97185000,NVDA,1369471000
460098000,USD,130291000,10K,2001-01-28,0,2001,275166000,47027000,-16679000,0,99937000,99937000,604973000,130291000,0,146964000,2001-04-27,86438000,58437000,NVDA,735264000
235575000,USD,54412000,10K,2000-01-30,0,2000,138930000,18068000,0,0,38098000,38098000,320093000,54412000,0,56166000,2000-03-13,47439000,37079000,NVDA,374505000
109746000,USD,4516000,10K,1999-01-31,0,1999,48491000,357000,0,0,4130000,4130000,153721000,4516000,0,4487000,1999-04-29,25073000,18902000,NVDA,158237000
2544000000,USD,2140000000,10-Q,2023-04-30,1,2024,4648000000,166000000,-84000000,0,2043000000,2043000000,5052000000,2140000000,0,2209000000,2023-05-26,1875000000,633000000,NVDA,7192000000
2218000000,USD,1256000000,10-K,2023-01-29,4,2023,3833000000,-126000000,-51000000,0,1414000000,1414000000,4795000000,1256000000,0,1288000000,2023-02-24,1952000000,625000000,NVDA,6051000000
2754000000,USD,601000000,10-Q,2022-10-30,3,2023,3177000000,-67000000,-23000000,0,680000000,680000000,5330000000,601000000,0,613000000,2022-11-18,1945000000,631000000,NVDA,5931000000
3789000000,USD,499000000,10-Q,2022-07-31,2,2023,2915000000,-181000000,19000000,0,656000000,656000000,6205000000,499000000,0,475000000,2022-08-31,1824000000,592000000,NVDA,6704000000
2857000000,USD,3221000000,10-Q,2022-05-01,1,2023,5431000000,187000000,50000000,0,1618000000,1618000000,5067000000,3221000000,0,1805000000,2022-05-27,1618000000,592000000,NVDA,8288000000
2643000000,USD,2970000000,10-K,2022-01-30,4,2022,5000000000,-137000000,51000000,0,3002000000,3002000000,4673000000,2970000000,0,2865000000,2022-03-18,1467000000,563000000,NVDA,7643000000
2472000000,USD,2671000000,10-Q,2021-10-31,3,2022,4631000000,174000000,55000000,0,2464000000,2464000000,4432000000,2671000000,0,2638000000,2021-11-22,1403000000,557000000,NVDA,7103000000
2292000000,USD,2444000000,10-Q,2021-08-01,2,2022,4215000000,20000000,54000000,0,2374000000,2374000000,4063000000,2444000000,0,2394000000,2021-08-20,1245000000,526000000,NVDA,6507000000
2032000000,USD,1956000000,10-Q,2021-05-02,1,2022,3629000000,132000000,47000000,0,1912000000,1912000000,3705000000,1956000000,0,2044000000,2021-05-26,1153000000,520000000,NVDA,5661000000
1846000000,USD,1507000000,10-K,2021-01-31,4,2021,3157000000,14000000,46000000,0,1457000000,1457000000,3496000000,1507000000,0,1471000000,2021-02-26,1145000000,505000000,NVDA,5003000000
1766000000,USD,1398000000,10-Q,2020-10-25,3,2021,2960000000,12000000,46000000,0,1336000000,1336000000,3328000000,1398000000,0,1348000000,2020-11-18,1047000000,515000000,NVDA,4726000000
1591000000,USD,651000000,10-Q,2020-07-26,2,2021,2275000000,-13000000,41000000,0,622000000,622000000,3215000000,651000000,0,609000000,2020-08-19,997000000,627000000,NVDA,3866000000
1076000000,USD,976000000,10-Q,2020-04-26,1,2021,2004000000,64000000,-6000000,0,917000000,917000000,2104000000,976000000,0,981000000,2020-05-21,735000000,293000000,NVDA,3080000000
1090000000,USD,990000000,10-K,2020-01-26,4,2020,2015000000,65000000,-29000000,0,951000000,951000000,2115000000,990000000,0,1016000000,2020-02-20,739000000,286000000,NVDA,3105000000
1098000000,USD,927000000,10-Q,2019-10-27,3,2020,1916000000,60000000,-32000000,0,899000000,899000000,2087000000,927000000,0,959000000,2019-11-14,712000000,277000000,NVDA,3014000000
1038000000,USD,571000000,10-Q,2019-07-28,2,2020,1541000000,54000000,-34000000,0,552000000,552000000,2008000000,571000000,0,606000000,2019-08-15,704000000,266000000,NVDA,2579000000
924000000,USD,358000000,10-Q,2019-04-28,1,2020,1296000000,-5000000,-31000000,0,394000000,394000000,1862000000,358000000,0,389000000,2019-05-16,674000000,264000000,NVDA,2220000000
998000000,USD,294000000,10-K,2019-01-27,4,2019,1207000000,-242000000,-28000000,0,566000000,566000000,1911000000,294000000,0,324000000,2019-02-21,648000000,265000000,NVDA,2205000000
1260000000,USD,1058000000,10-Q,2018-10-28,3,2019,1921000000,-149000000,-22000000,0,1230000000,1230000000,2123000000,1058000000,0,1081000000,2018-11-15,605000000,258000000,NVDA,3181000000
1148000000,USD,1157000000,10-Q,2018-07-29,2,2019,1975000000,79000000,-18000000,0,1101000000,1101000000,1966000000,1157000000,0,1180000000,2018-08-16,581000000,237000000,NVDA,3123000000
1139000000,USD,1295000000,10-Q,2018-04-29,1,2019,2068000000,67000000,-10000000,0,1244000000,1244000000,1912000000,1295000000,0,1311000000,2018-05-22,542000000,231000000,NVDA,3207000000
1110000000,USD,1073000000,10-K,2018-01-28,4,2018,1801000000,-39000000,-6000000,0,1119000000,1119000000,1838000000,1073000000,0,1080000000,2018-02-28,508000000,220000000,NVDA,2911000000
1067000000,USD,895000000,10-Q,2017-10-29,3,2018,1569000000,58000000,-2000000,0,838000000,838000000,1741000000,895000000,0,896000000,2017-11-21,462000000,212000000,NVDA,2636000000
928000000,USD,688000000,10-Q,2017-07-30,2,2018,1302000000,101000000,0,0,583000000,583000000,1542000000,688000000,0,684000000,2017-08-23,416000000,198000000,NVDA,2230000000
787000000,USD,554000000,10-Q,2017-04-30,1,2018,1150000000,29000000,0,0,507000000,507000000,1383000000,554000000,0,536000000,2017-05-23,411000000,185000000,NVDA,1937000000
870000000,USD,733000000,10-K,2017-01-29,4,2017,1303000000,51000000,2000000,0,675000000,675000000,1440000000,733000000,0,726000000,2017-03-01,394000000,176000000,NVDA,2173000000
821000000,USD,639000000,10-Q,2016-10-30,3,2017,1183000000,79000000,2000000,0,542000000,542000000,1365000000,639000000,0,621000000,2016-11-22,373000000,171000000,NVDA,2004000000
602000000,USD,319000000,10-Q,2016-07-31,2,2017,826000000,64000000,0,0,253000000,253000000,1109000000,319000000,0,317000000,2016-08-23,350000000,157000000,NVDA,1428000000
554000000,USD,246000000,10-Q,2016-05-01,1,2017,751000000,45000000,0,0,196000000,196000000,1059000000,246000000,0,241000000,2016-05-25,346000000,159000000,NVDA,1305000000
611000000,USD,284000000,10-K,2016-01-31,4,2016,790000000,46000000,-1000000,0,208000000,208000000,1117000000,284000000,0,254000000,2016-03-17,343000000,163000000,NVDA,1401000000
571000000,USD,253000000,10-Q,2015-10-25,3,2016,734000000,-1000000,3000000,0,246000000,246000000,1052000000,253000000,0,245000000,2015-11-18,329000000,152000000,NVDA,1305000000
519000000,USD,165000000,10-Q,2015-07-26,2,2016,634000000,46000000,3000000,0,26000000,26000000,988000000,165000000,0,72000000,2015-08-19,320000000,149000000,NVDA,1153000000
498000000,USD,176000000,10-Q,2015-04-26,1,2016,653000000,38000000,3000000,0,134000000,134000000,975000000,176000000,0,172000000,2015-05-20,339000000,138000000,NVDA,1151000000
550911000,USD,231136000,10-K,2015-01-25,4,2015,699603000,34731000,3465000,0,193128000,193128000,1019378000,231136000,0,227859000,2015-03-12,348253000,120214000,NVDA,1250514000
548684000,USD,213315000,10-Q,2014-10-26,3,2015,676698000,36103000,4120000,0,172967000,172967000,1012067000,213315000,0,209070000,2014-11-19,340085000,123298000,NVDA,1225382000
483850000,USD,163179000,10-Q,2014-07-27,2,2015,618974000,26649000,4697000,0,127976000,127976000,939645000,163179000,0,154625000,2014-08-20,337124000,118671000,NVDA,1102824000
498585000,USD,151359000,10-Q,2014-04-27,1,2015,604202000,26766000,5761000,0,136516000,136516000,951428000,151359000,0,163282000,2014-05-21,334263000,118580000,NVDA,1102787000
524976000,USD,166924000,10-K,2014-01-26,4,2014,619242000,21971000,6287000,0,146917000,146917000,977294000,166924000,0,168888000,2014-03-13,336641000,115677000,NVDA,1144218000
469552000,USD,140988000,10-Q,2013-10-27,3,2014,584415000,22750000,-4022000,0,118734000,118734000,912979000,140988000,0,141484000,2013-11-19,340294000,103133000,NVDA,1053967000
431700000,USD,105534000,10-Q,2013-07-28,2,2014,545538000,15372000,-3865000,0,96448000,96448000,871704000,105534000,0,111820000,2013-08-21,331738000,108266000,NVDA,977238000
436171000,USD,82781000,10-Q,2013-04-28,1,2014,518568000,10171000,-5076000,0,77891000,77891000,871958000,82781000,0,88062000,2013-05-22,327161000,108626000,NVDA,954739000
521300000,USD,183573000,10-K,2013-01-27,4,2013,585602000,12135000,-1399000,0,173973000,173973000,923329000,183573000,0,186108000,2013-03-12,298007000,104022000,NVDA,1106902000
567452000,USD,252217000,10-Q,2012-10-28,3,2013,636658000,44548000,-4701000,0,209080000,209080000,951893000,252217000,0,253628000,2012-11-19,284180000,100261000,NVDA,1204110000
503551000,USD,139623000,10-Q,2012-07-29,2,2013,540719000,26162000,-5316000,0,119046000,119046000,904647000,139623000,0,145208000,2012-08-22,281193000,119903000,NVDA,1044270000
461513000,USD,72826000,10-Q,2012-04-29,1,2013,463364000,16658000,-5198000,0,60437000,60437000,852051000,72826000,0,77095000,2012-05-23,283902000,106636000,NVDA,924877000
463181000,USD,122317000,10-K,2012-01-29,4,2012,490013000,34526000,-1125000,0,116025000,116025000,830877000,122317000,0,124577000,2012-03-13,266862000,100834000,NVDA,953194000
509463000,USD,197090000,10-Q,2011-10-30,3,2012,556717000,26514000,-4356000,0,178273000,178273000,869090000,197090000,0,204787000,2011-11-22,256498000,103129000,NVDA,1066180000
491233000,USD,174030000,10-Q,2011-07-31,2,2012,525284000,0,-5266000,0,151573000,151573000,842487000,174030000,0,177547000,2011-08-25,247721000,103533000,NVDA,1016517000
477536000,USD,154862000,10-Q,2011-05-01,1,2012,484503000,21266000,-5313000,0,135219000,135219000,807177000,154862000,0,156485000,2011-05-27,231524000,98117000,NVDA,962039000
3599000000,USD,801000000,10-Q,2023-03-31,1,2023,1884000000,123000000,50000000,1000000,638000000,638000000,4682000000,801000000,0,762000000,2023-05-02,179000000,904000000,ETN,5483000000
3546000000,USD,875000000,10-K,2022-12-31,4,2022,1838000000,128000000,44000000,2000000,722000000,722000000,4509000000,875000000,0,852000000,2023-02-23,167000000,796000000,ETN,5384000000
3545000000,USD,790000000,10-Q,2022-09-30,3,2022,1768000000,112000000,37000000,1000000,607000000,607000000,4523000000,790000000,0,719000000,2022-11-01,165000000,813000000,ETN,5313000000
3505000000,USD,711000000,10-Q,2022-06-30,2,2022,1707000000,119000000,31000000,0,601000000,601000000,4501000000,711000000,0,721000000,2022-08-02,168000000,828000000,ETN,5212000000
3269000000,USD,619000000,10-Q,2022-03-31,1,2022,1574000000,86000000,32000000,1000000,532000000,532000000,4224000000,619000000,0,619000000,2022-05-03,165000000,790000000,ETN,4843000000
3226000000,USD,659000000,10-K,2021-12-31,4,2021,1572000000,74000000,32000000,0,551000000,551000000,4139000000,659000000,0,625000000,2022-02-23,162000000,751000000,ETN,4798000000
3338000000,USD,599000000,10-Q,2021-09-30,3,2021,1585000000,483000000,37000000,1000000,629000000,629000000,4324000000,599000000,0,1113000000,2021-11-02,152000000,834000000,ETN,4923000000
3545000000,USD,640000000,10-Q,2021-06-30,2,2021,1670000000,114000000,37000000,0,506000000,506000000,4575000000,640000000,0,620000000,2021-08-03,154000000,876000000,ETN,5215000000
3184000000,USD,565000000,10-Q,2021-03-31,1,2021,1508000000,79000000,38000000,1000000,458000000,458000000,4127000000,565000000,0,538000000,2021-05-04,148000000,795000000,ETN,4692000000
3178000000,USD,604000000,10-K,2020-12-31,4,2020,1509000000,77000000,36000000,1000000,475000000,475000000,4083000000,604000000,0,553000000,2021-02-24,140000000,765000000,ETN,4687000000
3051000000,USD,589000000,10-Q,2020-09-30,3,2020,1475000000,78000000,41000000,1000000,446000000,446000000,3937000000,589000000,0,525000000,2020-11-03,132000000,754000000,ETN,4526000000
2877000000,USD,162000000,10-Q,2020-06-30,2,2020,979000000,-7000000,38000000,3000000,51000000,51000000,3694000000,162000000,0,47000000,2020-07-29,126000000,691000000,ETN,3856000000
3302000000,USD,469000000,10-Q,2020-03-31,1,2020,1487000000,183000000,34000000,0,438000000,438000000,4320000000,469000000,0,621000000,2020-04-30,153000000,865000000,ETN,4789000000
3556000000,USD,656000000,10-K,2019-12-31,4,2019,1682000000,79000000,53000000,1000000,452000000,452000000,4582000000,656000000,0,532000000,2020-02-26,152000000,874000000,ETN,5238000000
3512000000,USD,770000000,10-Q,2019-09-30,3,2019,1802000000,116000000,54000000,1000000,601000000,601000000,4544000000,770000000,0,718000000,2019-10-29,147000000,885000000,ETN,5314000000
3697000000,USD,778000000,10-Q,2019-06-30,2,2019,1836000000,102000000,63000000,0,636000000,636000000,4755000000,778000000,0,738000000,2019-07-30,151000000,907000000,ETN,5533000000
3573000000,USD,659000000,10-Q,2019-03-31,1,2019,1732000000,81000000,66000000,0,522000000,522000000,4646000000,659000000,0,603000000,2019-04-30,156000000,917000000,ETN,5305000000
3670000000,USD,775000000,10-K,2018-12-31,4,2018,1789000000,94000000,66000000,1000000,631000000,631000000,4684000000,775000000,0,726000000,2019-02-27,145000000,869000000,ETN,5459000000
3597000000,USD,788000000,10-Q,2018-09-30,3,2018,1815000000,23000000,67000000,0,416000000,416000000,4624000000,788000000,0,439000000,2018-10-30,138000000,889000000,ETN,5412000000
3671000000,USD,770000000,10-Q,2018-06-30,2,2018,1816000000,83000000,68000000,1000000,610000000,610000000,4717000000,770000000,0,694000000,2018-07-31,145000000,901000000,ETN,5487000000
3573000000,USD,633000000,10-Q,2018-03-31,1,2018,1678000000,78000000,70000000,-1000000,488000000,488000000,4618000000,633000000,0,565000000,2018-05-01,156000000,889000000,ETN,5251000000
3527000000,USD,680000000,10-K,2017-12-31,4,2017,1686000000,4000000,65000000,0,639000000,639000000,4533000000,680000000,0,643000000,2018-02-28,144000000,862000000,ETN,5213000000
3469000000,USD,679000000,10-Q,2017-09-30,3,2017,1742000000,292000000,60000000,0,1399000000,1399000000,4532000000,679000000,0,1691000000,2017-10-31,147000000,916000000,ETN,5211000000
3450000000,USD,630000000,10-Q,2017-06-30,2,2017,1682000000,54000000,60000000,1000000,515000000,515000000,4502000000,630000000,0,570000000,2017-08-01,150000000,902000000,ETN,5132000000
3310000000,USD,510000000,10-Q,2017-03-31,1,2017,1538000000,32000000,61000000,0,432000000,432000000,4338000000,510000000,0,464000000,2017-05-02,143000000,885000000,ETN,4848000000
3319000000,USD,540000000,10-K,2016-12-31,4,2016,1548000000,51000000,60000000,4000000,504000000,504000000,4327000000,540000000,0,559000000,2017-02-22,145000000,863000000,ETN,4867000000
3371000000,USD,617000000,10-Q,2016-09-30,3,2016,1616000000,51000000,59000000,-1000000,523000000,523000000,4370000000,617000000,0,573000000,2016-11-01,146000000,853000000,ETN,4987000000
3419000000,USD,615000000,10-Q,2016-06-30,2,2016,1661000000,61000000,57000000,1000000,491000000,491000000,4465000000,615000000,0,553000000,2016-08-02,149000000,897000000,ETN,5080000000
3291000000,USD,481000000,10-Q,2016-03-31,1,2016,1522000000,39000000,57000000,-1000000,404000000,404000000,4332000000,481000000,0,442000000,2016-04-29,149000000,892000000,ETN,4813000000
3427000000,USD,604000000,10-K,2015-12-31,4,2015,1630000000,21000000,57000000,2000000,532000000,532000000,4453000000,604000000,0,555000000,2016-02-24,153000000,873000000,ETN,5057000000
3597000000,USD,543000000,10-Q,2015-09-30,3,2015,1606000000,42000000,59000000,-1000000,446000000,446000000,4660000000,543000000,0,487000000,2015-10-30,156000000,907000000,ETN,5203000000
3675000000,USD,638000000,10-Q,2015-06-30,2,2015,1697000000,63000000,59000000,0,535000000,535000000,4734000000,638000000,0,598000000,2015-07-29,158000000,901000000,ETN,5372000000
3593000000,USD,557000000,10-Q,2015-03-31,1,2015,1630000000,38000000,57000000,1000000,466000000,466000000,4666000000,557000000,0,505000000,2015-04-29,158000000,915000000,ETN,5223000000
3847000000,USD,661000000,10-K,2014-12-31,4,2014,1718000000,24000000,54000000,4000000,581000000,581000000,4904000000,661000000,0,609000000,2015-02-26,154000000,903000000,ETN,5565000000
3916000000,USD,688000000,10-Q,2014-09-30,3,2014,1812000000,37000000,56000000,3000000,602000000,602000000,5040000000,688000000,0,642000000,2014-10-31,163000000,961000000,ETN,5728000000
4025000000,USD,590000000,10-Q,2014-06-30,2,2014,1742000000,-115000000,55000000,1000000,171000000,171000000,5177000000,590000000,0,57000000,2014-07-31,168000000,984000000,ETN,5767000000
3858000000,USD,510000000,10-Q,2014-03-31,1,2014,1634000000,12000000,62000000,2000000,439000000,439000000,4982000000,510000000,0,453000000,2014-05-05,162000000,962000000,ETN,5492000000
3881000000,USD,480000000,10-K,2013-12-31,4,2013,1646000000,-53000000,62000000,3000000,479000000,479000000,5047000000,480000000,0,429000000,2014-02-26,165000000,1001000000,ETN,5527000000
3883000000,USD,591000000,10-Q,2013-09-30,3,2013,1724000000,7000000,63000000,4000000,510000000,510000000,5016000000,591000000,0,521000000,2013-11-07,166000000,967000000,ETN,5607000000
3870000000,USD,611000000,10-Q,2013-06-30,2,2013,1732000000,37000000,71000000,3000000,494000000,494000000,4991000000,611000000,0,534000000,2013-08-02,161000000,960000000,ETN,5602000000
3735000000,USD,465000000,10-Q,2013-03-31,1,2013,1575000000,20000000,75000000,2000000,378000000,378000000,4845000000,465000000,0,400000000,2013-05-03,152000000,958000000,ETN,5310000000
3132000000,USD,260000000,10-K,2012-12-31,4,2012,1201000000,-92000000,108000000,3000000,177000000,177000000,4073000000,260000000,0,88000000,2013-02-28,126000000,815000000,ETN,4333000000
2747000000,USD,414000000,10-Q,2012-09-30,3,2012,1203000000,29000000,42000000,0,347000000,347000000,3536000000,414000000,0,376000000,2012-10-31,102000000,687000000,ETN,3950000000
2815000000,USD,457000000,10-Q,2012-06-30,2,2012,1253000000,37000000,30000000,0,382000000,382000000,3611000000,457000000,0,419000000,2012-07-24,106000000,690000000,ETN,4068000000
2754000000,USD,399000000,10-Q,2012-03-31,1,2012,1206000000,57000000,28000000,0,311000000,311000000,3561000000,399000000,0,368000000,2012-04-24,105000000,702000000,ETN,3960000000
13865000000,USD,2995000000,10-K,2022-12-31,0,2022,6887000000,445000000,144000000,4000000,2462000000,2462000000,17757000000,2995000000,0,2911000000,2023-02-23,665000000,3227000000,ETN,20752000000
13293000000,USD,2463000000,10-K,2021-12-31,0,2021,6335000000,750000000,144000000,2000000,2144000000,2144000000,17165000000,2463000000,0,2896000000,2022-02-23,616000000,3256000000,ETN,19628000000
12408000000,USD,1824000000,10-K,2020-12-31,0,2020,5450000000,331000000,149000000,5000000,1410000000,1410000000,16034000000,1824000000,0,1746000000,2021-02-24,551000000,3075000000,ETN,17858000000
14338000000,USD,2863000000,10-K,2019-12-31,0,2019,7052000000,378000000,236000000,2000000,2211000000,2211000000,18527000000,2863000000,0,2591000000,2020-02-26,606000000,3583000000,ETN,21390000000
14511000000,USD,2966000000,10-K,2018-12-31,0,2018,7098000000,278000000,271000000,1000000,2145000000,2145000000,18643000000,2966000000,0,2424000000,2019-02-27,584000000,3548000000,ETN,21609000000
13756000000,USD,2499000000,10-K,2017-12-31,0,2017,6648000000,382000000,246000000,1000000,2985000000,2985000000,17905000000,2499000000,0,3368000000,2018-02-28,584000000,3565000000,ETN,20404000000
13400000000,USD,2253000000,10-K,2016-12-31,0,2016,6347000000,202000000,233000000,3000000,1922000000,1922000000,17494000000,2253000000,0,2127000000,2017-02-22,589000000,3505000000,ETN,19747000000
14292000000,USD,2342000000,10-K,2015-12-31,0,2015,6563000000,164000000,232000000,2000000,1979000000,1979000000,18513000000,2342000000,0,2145000000,2016-02-24,625000000,3596000000,ETN,20855000000
15646000000,USD,2449000000,10-K,2014-12-31,0,2014,6906000000,-42000000,227000000,10000000,1793000000,1793000000,20103000000,2449000000,0,1761000000,2015-02-26,647000000,3810000000,ETN,22552000000
15369000000,USD,2147000000,10-K,2013-12-31,0,2013,6677000000,11000000,271000000,12000000,1861000000,1861000000,19899000000,2147000000,0,1884000000,2014-02-26,644000000,3886000000,ETN,22046000000
11448000000,USD,1530000000,10-K,2012-12-31,0,2012,4863000000,31000000,208000000,3000000,1217000000,1217000000,14781000000,1530000000,0,1251000000,2013-02-28,439000000,2894000000,ETN,16311000000
11261000000,USD,1633000000,10-K,2011-12-31,0,2011,4788000000,201000000,118000000,2000000,1350000000,1350000000,14416000000,1633000000,0,1553000000,2012-02-24,417000000,2738000000,ETN,16049000000
9633000000,USD,1171000000,10-K,2010-12-31,0,2010,4082000000,99000000,136000000,8000000,929000000,929000000,12544000000,1171000000,0,1036000000,2011-02-25,425000000,2486000000,ETN,13715000000
8782000000,USD,444000000,10-K,2009-12-31,0,2009,3091000000,-82000000,150000000,2000000,383000000,383000000,11429000000,444000000,0,303000000,2010-02-26,395000000,2252000000,ETN,11873000000
11191000000,USD,1255000000,10-K,2008-12-31,0,2008,4185000000,73000000,157000000,0,1058000000,1058000000,14121000000,1255000000,0,1128000000,2009-02-27,417000000,2513000000,ETN,15376000000
9382000000,USD,1177000000,10-K,2007-12-31,0,2007,3651000000,82000000,147000000,0,994000000,994000000,11856000000,1177000000,0,1041000000,2008-02-29,335000000,2139000000,ETN,13033000000
783153000,USD,627030000,10-K,2022-12-31,0,2022,1805809000,0,94203000,149041000,513268000,513268000,1962577000,626385000,0,670701000,2023-01-30,0,177278000,ARE,2588962000
623555000,USD,530328000,10-K,2021-12-31,0,2021,1490595000,0,142165000,83035000,563399000,563399000,1596077000,518073000,0,654282000,2022-01-31,0,151461000,ARE,2114150000
530224000,USD,532116000,10-K,2020-12-31,0,2020,1355413000,0,171609000,56212000,760791000,760791000,1361669000,523968000,0,827171000,2021-02-01,0,133341000,ARE,1885637000
445492000,USD,442505000,10-K,2019-12-31,0,2019,1085804000,0,173675000,40882000,350995000,350995000,1098927000,432369000,0,404047000,2020-02-04,0,108823000,ARE,1531296000
381120000,USD,409576000,10-K,2018-12-31,0,2018,933661000,0,157495000,23481000,363983000,363983000,949186000,365595000,0,402793000,2019-02-05,0,90405000,ARE,1314781000
325609000,USD,322536000,10-K,2017-12-31,0,2017,798902000,0,128645000,25111000,145395000,145395000,817401000,307110000,0,194204000,2018-01-30,0,75009000,ARE,1124511000
278408000,USD,242027000,10-K,2016-12-31,0,2016,619485000,0,106953000,16102000,-151141000,-151141000,655866000,242027000,0,-49799000,2017-01-31,0,63884000,ARE,897893000
261232000,USD,239063000,10-K,2015-12-31,0,2015,558322000,0,105813000,1897000,116867000,116867000,582142000,237412000,0,146114000,2016-02-03,0,59621000,ARE,819554000
219164000,USD,223553000,10-K,2014-12-31,0,2014,501230000,0,79299000,5204000,72113000,72113000,497395000,222999000,0,106778000,2015-02-24,0,53530000,ARE,720394000
189039000,USD,195331000,10-K,2013-12-31,0,2013,431953000,0,63363000,4032000,108751000,108751000,430318000,190674000,0,140249000,2014-03-03,0,48520000,ARE,620992000
174523000,USD,186959000,10-K,2012-12-31,0,2012,411550000,0,69184000,3402000,67630000,67630000,423820000,162253000,0,105528000,2013-02-26,0,47795000,ARE,586073000
168627000,USD,205321000,10-K,2011-12-31,0,2011,404816000,0,63407000,3975000,101973000,101973000,369248000,204195000,46000,135393000,2012-02-21,0,41163000,ARE,573443000
132278000,USD,253832000,10-K,2010-12-31,0,2010,355025000,0,69642000,3729000,105941000,105941000,293731000,193572000,0,139022000,2011-03-01,0,34390000,ARE,487303000
120494000,USD,212667000,10-K,2009-12-31,0,2009,359646000,0,81271000,7047000,104974000,104974000,277992000,202148000,0,141648000,2010-03-01,0,36290000,ARE,480140000
