adjustedHolding,adjustedMarketValue,entityProperName,reportDate,reportedHolding,reportedMarketValue,symbol
3782953,241692867,VANGUARD INDEX FUNDS,2022-05-31,3782953,241692867,AOS
3295158,210527645,VANGUARD INDEX FUNDS,2022-05-31,3295158,210527645,AOS
2875363,183706942,VANGUARD INDEX FUNDS,2022-05-31,2875363,183706942,AOS
1988122,127021115,VANGUARD INDEX FUNDS,2022-05-31,1988122,127021115,AOS
1933896,132626588,PROSHARES TRUST,2022-04-28,1933896,132626588,AOS
1710838,109305440,IVY FUNDS,2022-05-20,1710838,109305440,AOS
1444919,92315875,SPDR SP 500 ETF TRUST,2022-05-27,1444919,92315875,AOS
1426926,91166302,SPDR SERIES TRUST,2022-05-27,1426926,91166302,AOS
1023920,50868346,CARILLON SERIES TRUST,2019-12-20,1023920,50868346,AOS
985501,62963659,VANGUARD INSTITUTIONAL INDEX FUNDS,2022-05-31,985501,62963659,AOS
898595,57411235,FIRST TRUST EXCHANGE-TRADED FUND,2022-05-26,898595,57411235,AOS
815401,47643880,VANGUARD SPECIALIZED FUNDS,2022-06-29,815401,47643880,AOS
748412,47816043,SPDR SERIES TRUST,2022-05-27,748412,47816043,AOS
728141,31084339,AB LARGE CAP GROWTH FUND INC,2020-03-09,728141,31084339,AOS
704508,45011016,SELECT SECTOR SPDR TRUST,2022-05-27,704508,45011016,AOS
669779,42792180,FIRST TRUST EXCHANGE-TRADED FUND,2022-05-26,669779,42792180,AOS
589055,34418484,OLD WESTBURY FUNDS INC,2022-06-29,589055,34418484,AOS
541246,20464511,BAIRD FUNDS INC,2020-05-27,541246,20464511,AOS
443042,30016096,LORD ABBETT SECURITIES TRUST,2021-06-28,443042,30016096,AOS
439052,25653808,iSHARES TRUST,2022-06-27,439052,25653808,AOS
322054,21774071,LORD ABBETT MID CAP STOCK FUND INC,2021-05-26,322054,21774071,AOS
317628,21782928,SCHWAB STRATEGIC TRUST,2022-04-25,317628,21782928,AOS
317329,18541533,FIDELITY SALEM STREET TRUST,2022-06-24,317329,18541533,AOS
303142,17712587,DFA INVESTMENT DIMENSIONS GROUP INC,2022-06-28,303142,17712587,AOS
286334,18293879,VANGUARD QUANTITATIVE FUNDS,2022-05-31,286334,18293879,AOS
259182,15144004,SCHWAB CAPITAL TRUST,2022-06-24,259182,15144004,AOS
256706,14999332,FIDELITY SALEM STREET TRUST,2022-06-24,256706,14999332,AOS
238791,15256357,PACIFIC SELECT FUND,2022-05-27,238791,15256357,AOS
237434,13873269,SCHWAB CAPITAL TRUST,2022-06-24,237434,13873269,AOS
213844,12494905,OLD WESTBURY FUNDS INC,2022-06-29,213844,12494905,AOS
212406,12410883,DFA INVESTMENT DIMENSIONS GROUP INC,2022-06-28,212406,12410883,AOS
206178,14139687,Fidelity Rutland Square Trust II,2022-04-27,206178,14139687,AOS
202336,11092060,EATON VANCE SPECIAL INVESTMENT TRUST,2021-02-16,202336,11092060,AOS
197850,12640637,"NICHOLAS II, INC",2022-05-27,197850,12640637,AOS
197826,11558973,"PRINCIPAL FUNDS, INC.",2022-06-24,197826,11558973,AOS
180000,10135800,FIDELITY PURITAN TRUST,2021-01-20,180000,10135800,AOS
169998,11658463,AIM COUNSELOR SERIES TRUST (INVESCO COUNSELOR SERIES TRUST),2022-04-29,169998,11658463,AOS
165069,11320432,VANGUARD WORLD FUND,2022-04-29,165069,11320432,AOS
152551,8913555,iSHARES TRUST,2022-06-27,152551,8913555,AOS
151801,8869732,BBH Trust,2022-06-28,151801,8869732,AOS
147140,10700021,FIDELITY SELECT PORTFOLIOS,2021-10-26,147140,10700021,AOS
143168,9818461,Brinker Capital Destinations Trust,2022-04-28,143168,9818461,AOS
143000,12276550,FMI FUNDS INC,2022-02-15,143000,12276550,AOS
138704,8104475,FIRST TRUST EXCHANGE-TRADED ALPHADEX FUND,2022-06-24,138704,8104475,AOS
137718,8798803,Ivy Variable Insurance Portfolios,2022-05-27,137718,8798803,AOS
136735,9377286,Fidelity Commonwealth Trust II,2022-04-27,136735,9377286,AOS
134323,8581896,FIRST TRUST EXCHANGE-TRADED FUND VI,2022-05-26,134323,8581896,AOS
130909,6168432,Eaton Vance Enhanced Equity Income Fund II,2020-08-24,130909,6168432,AOS
130308,4926945,Allianz Funds Multi-Strategy Trust,2020-05-12,130308,4926945,AOS
127035,6898001,EATON VANCE TAX ADVANTAGED DIVIDEND INCOME FUND,2021-03-31,127035,6898001,AOS
125434,8013978,COLLEGE RETIREMENT EQUITIES FUND,2022-05-26,125434,8013978,AOS
125244,8001839,Bridge Builder Trust,2022-05-31,125244,8001839,AOS
122348,6889416,NEUBERGER BERMAN EQUITY FUNDS,2021-01-28,122348,6889416,AOS
118251,6909406,FIRST TRUST EXCHANGE-TRADED FUND IV,2022-06-23,118251,6909406,AOS
116476,6805693,Invesco Exchange-Traded Fund Trust II,2022-06-27,116476,6805693,AOS
112500,7187625,BOSTON TRUST WALDEN FUNDS,2022-05-25,112500,7187625,AOS
112155,7165583,MASTER INVESTMENT PORTFOLIO,2022-05-26,112155,7165583,AOS
112007,9615801,"AMERICAN CENTURY QUANTITATIVE EQUITY FUNDS, INC.",2022-02-22,112007,9615801,AOS
111380,5306143,MARSICO INVESTMENT FUND,2020-02-27,111380,5306143,AOS
110796,4695534,First Trust Exchange-Traded Fund III,2020-06-22,110796,4695534,AOS
108438,6336032,FLEXSHARES TRUST,2022-06-28,108438,6336032,AOS
108135,7415898,SCHWAB STRATEGIC TRUST,2022-04-25,108135,7415898,AOS
105383,6732920,"T. Rowe Price Index Trust, Inc.",2022-05-27,105383,6732920,AOS
103165,4861135,VANGUARD MALVERN FUNDS,2020-09-22,103165,4861135,AOS
102676,5999359,TIAA-CREF FUNDS,2022-06-28,102676,5999359,AOS
100490,4289918,Tax-Managed Value Portfolio,2020-03-31,100490,4289918,AOS
100281,6406953,VANGUARD VALLEY FORGE FUNDS,2022-05-31,100281,6406953,AOS
96636,7061193,Investment Managers Series Trust,2021-12-29,96636,7061193,AOS
95458,6098812,WisdomTree Trust,2022-05-17,95458,6098812,AOS
91769,5362063,Dimensional ETF Trust,2022-06-27,91769,5362063,AOS
90600,5293758,FIDELITY SECURITIES FUND,2022-06-24,90600,5293758,AOS
88706,5667426,"NICHOLAS Ltd EDITION, INC.",2022-05-27,88706,5667426,AOS
88702,5667171,VANGUARD INSTITUTIONAL INDEX FUNDS,2022-05-31,88702,5667171,AOS
80308,4692396,RUSSELL INVESTMENT CO,2022-06-29,80308,4692396,AOS
80000,5111200,SCHWARTZ INVESTMENT TRUST,2022-05-24,80000,5111200,AOS
77873,3813441,EATON VANCE GROWTH TRUST,2020-10-20,77873,3813441,AOS
76870,5197181,"BlackRock Utilities, Infrastructure  Power Opportunities Trust",2021-05-27,76870,5197181,AOS
75438,5173538,Fidelity Rutland Square Trust II,2022-04-27,75438,5173538,AOS
74982,3671869,EATON VANCE GROWTH TRUST,2020-10-20,74982,3671869,AOS
71127,4544304,MASTER INVESTMENT PORTFOLIO,2022-05-26,71127,4544304,AOS
70378,3858122,HARTFORD SERIES FUND INC,2021-02-24,70378,3858122,AOS
68952,4405343,HEARTLAND GROUP INC,2022-05-03,68952,4405343,AOS
67738,5815307,FIRST TRUST VARIABLE INSURANCE TRUST,2022-02-22,67738,5815307,AOS
67437,3940344,BlackRock ETF Trust,2022-06-27,67437,3940344,AOS
66682,4573052,SCHWAB STRATEGIC TRUST,2022-04-25,66682,4573052,AOS
66416,4243318,COLLEGE RETIREMENT EQUITIES FUND,2022-05-26,66416,4243318,AOS
66200,4655846,FIDELITY CAPITAL TRUST,2021-09-24,66200,4655846,AOS
64790,3785680,J.P. Morgan Exchange-Traded Fund Trust,2022-06-28,64790,3785680,AOS
62898,4252534,LORD ABBETT SERIES FUND INC,2021-05-26,62898,4252534,AOS
60841,4172476,SCHWAB STRATEGIC TRUST,2022-04-25,60841,4172476,AOS
60776,3551142,VANGUARD INTERNATIONAL EQUITY INDEX FUNDS,2022-06-29,60776,3551142,AOS
59507,4080990,VANGUARD SCOTTSDALE FUNDS,2022-04-29,59507,4080990,AOS
56914,3325485,John Hancock Exchange-Traded Fund Trust,2022-06-28,56914,3325485,AOS
53846,3440221,WisdomTree Trust,2022-05-17,53846,3440221,AOS
52706,3079612,TIAA-CREF FUNDS,2022-06-28,52706,3079612,AOS
52388,3061031,SCHWAB CAPITAL TRUST,2022-06-24,52388,3061031,AOS
52033,3568423,ALLSPRING MASTER TRUST,2022-04-29,52033,3568423,AOS
51223,2440264,Guardian Variable Products Trust,2020-02-12,51223,2440264,AOS
50929,3253854,SPDR SERIES TRUST,2022-05-27,50929,3253854,AOS
50646,4347959,"AMERICAN CENTURY QUANTITATIVE EQUITY FUNDS, INC.",2022-02-22,50646,4347959,AOS
50594,3232451,GREAT-WEST FUNDS INC,2022-05-20,50594,3232451,AOS
50455,3223570,SPDR SERIES TRUST,2022-05-27,50455,3223570,AOS
49485,3161597,Six Circles Trust,2022-05-31,49485,3161597,AOS
49462,4246313,"AMERICAN CENTURY QUANTITATIVE EQUITY FUNDS, INC.",2022-02-22,49462,4246313,AOS
49242,2383313,AMERICAN CENTURY WORLD MUTUAL FUNDS INC,2020-01-23,49242,2383313,AOS
48945,3127096,SPDR SERIES TRUST,2022-05-27,48945,3127096,AOS
47150,3012414,OSI ETF Trust,2022-05-11,47150,3012414,AOS
43789,2797679,NORTHERN FUNDS,2022-05-24,43789,2797679,AOS
43589,2546905,FIDELITY SALEM STREET TRUST,2022-06-24,43589,2546905,AOS
43543,2781962,JNL SERIES TRUST,2022-05-25,43543,2781962,AOS
42805,2501096,GOLDMAN SACHS TRUST,2022-06-24,42805,2501096,AOS
42351,2474569,SCHWAB INVESTMENTS,2022-06-24,42351,2474569,AOS
41653,2661210,VARIABLE INSURANCE PRODUCTS FUND II,2022-05-25,41653,2661210,AOS
40770,2604795,PENN SERIES FUNDS INC,2022-05-20,40770,2604795,AOS
40700,2600323,"T. Rowe Price Diversified Mid-Cap Growth Fund, Inc.",2022-05-27,40700,2600323,AOS
40064,2340940,DIMENSIONAL INVESTMENT GROUP INC,2022-06-28,40064,2340940,AOS
39705,2319963,DFA INVESTMENT DIMENSIONS GROUP INC,2022-06-28,39705,2319963,AOS
38988,2278069,iSHARES TRUST,2022-06-27,38988,2278069,AOS
38916,3340939,"AMERICAN CENTURY QUANTITATIVE EQUITY FUNDS, INC.",2022-02-22,38916,3340939,AOS
38700,2472543,LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,2022-05-26,38700,2472543,AOS
38474,2248036,FIDELITY CONCORD STREET TRUST,2022-06-24,38474,2248036,AOS
38265,1822945,CONESTOGA FUNDS,2020-02-11,38265,1822945,AOS
37847,2418045,SPDR SERIES TRUST,2022-05-27,37847,2418045,AOS
37426,2632171,"AMERICAN CENTURY MUTUAL FUNDS, INC.",2021-09-23,37426,2632171,AOS
36681,2143271,FIDELITY SALEM STREET TRUST,2022-06-24,36681,2143271,AOS
36039,2471555,SCHWAB STRATEGIC TRUST,2022-04-25,36039,2471555,AOS
34877,2037863,FIDELITY SALEM STREET TRUST,2022-06-24,34877,2037863,AOS
33018,1985042,TRUST FOR PROFESSIONAL MANAGERS,2022-06-27,33018,1985042,AOS
32894,1921996,iSHARES TRUST,2022-06-27,32894,1921996,AOS
32880,2391034,GMO TRUST,2021-10-22,32880,2391034,AOS
32488,2075658,TAX-MANAGED GROWTH PORTFOLIO,2022-05-27,32488,2075658,AOS
31983,2193394,Managed Portfolio Series,2022-04-27,31983,2193394,AOS
31842,1860528,iSHARES TRUST,2022-06-27,31842,1860528,AOS
31715,2026271,"BNY Mellon Strategic Funds, Inc.",2022-05-26,31715,2026271,AOS
30662,1791581,DFA INVESTMENT DIMENSIONS GROUP INC,2022-06-28,30662,1791581,AOS
30173,1927753,VANGUARD VARIABLE INSURANCE FUNDS,2022-05-31,30173,1927753,AOS
29902,1747174,FIDELITY CONCORD STREET TRUST,2022-06-24,29902,1747174,AOS
29847,1906925,SPDR SERIES TRUST,2022-05-27,29847,1906925,AOS
29725,2009707,Absolute Shares Trust,2021-05-17,29725,2009707,AOS
29651,1894402,Fiera Capital Series Trust,2022-05-24,29651,1894402,AOS
29309,1789901,AdvisorShares Trust,2021-11-18,29309,1789901,AOS
29211,1866291,Victory Portfolios II,2022-05-25,29211,1866291,AOS
27903,1782723,Brighthouse Funds Trust II,2022-05-26,27903,1782723,AOS
27764,1622251,FIDELITY COVINGTON TRUST,2022-06-23,27764,1622251,AOS
27549,1609688,J.P. Morgan Exchange-Traded Fund Trust,2022-06-28,27549,1609688,AOS
27522,1758381,JPMORGAN TRUST II,2022-05-27,27522,1758381,AOS
27073,1729694,JOHN HANCOCK VARIABLE INSURANCE TRUST,2022-05-26,27073,1729694,AOS
26936,1573870,FLEXSHARES TRUST,2022-06-28,26936,1573870,AOS
26871,1716788,Voya INVESTORS TRUST,2022-05-26,26871,1716788,AOS
26211,1531509,SCHWAB CAPITAL TRUST,2022-06-24,26211,1531509,AOS
25801,1769433,VANGUARD ADMIRAL FUNDS,2022-04-29,25801,1769433,AOS
25732,1644017,VANGUARD TAX-MANAGED FUNDS,2022-05-31,25732,1644017,AOS
25588,1495107,TIAA-CREF FUNDS,2022-06-28,25588,1495107,AOS
24954,1594311,SEI INSTITUTIONAL MANAGED TRUST,2022-05-26,24954,1594311,AOS
24918,1455959,iSHARES TRUST,2022-06-27,24918,1455959,AOS
24700,1578083,Voya PARTNERS INC,2022-05-26,24700,1578083,AOS
24500,1565305,STATE STREET INSTITUTIONAL INVESTMENT TRUST,2022-05-27,24500,1565305,AOS
24200,1546138,JOHNSON MUTUAL FUNDS TRUST,2022-05-26,24200,1546138,AOS
24154,1656481,Fidelity Commonwealth Trust II,2022-04-27,24154,1656481,AOS
23675,1512596,BOSTON TRUST WALDEN FUNDS,2022-05-25,23675,1512596,AOS
23226,1592839,SEI INSTITUTIONAL INVESTMENTS TRUST,2022-04-29,23226,1592839,AOS
23175,1480651,JNL SERIES TRUST,2022-05-25,23175,1480651,AOS
23151,1269138,BlackRock Funds IV,2021-02-25,23151,1269138,AOS
22738,1452731,WisdomTree Trust,2022-05-17,22738,1452731,AOS
22536,1316778,RUSSELL INVESTMENT CO,2022-06-29,22536,1316778,AOS
22513,1438356,Voya VARIABLE PORTFOLIOS INC,2022-05-26,22513,1438356,AOS
22411,1309475,iSHARES TRUST,2022-06-27,22411,1309475,AOS
22283,1301996,"PRINCIPAL FUNDS, INC.",2022-06-24,22283,1301996,AOS
22198,1522339,VANGUARD WORLD FUND,2022-04-29,22198,1522339,AOS
21903,1673827,"MANNING  NAPIER FUND, INC.",2022-03-23,21903,1673827,AOS
21739,1490861,VALIC Co I,2022-04-27,21739,1490861,AOS
21669,1266120,Two Roads Shared Trust,2022-06-24,21669,1266120,AOS
21093,1347632,Eaton Vance Tax-Managed Buy-Write Opportunities Fund,2022-05-27,21093,1347632,AOS
20700,1419606,SEI INSTITUTIONAL INVESTMENTS TRUST,2022-04-29,20700,1419606,AOS
20542,1200269,BLACKROCK FUNDS,2022-06-27,20542,1200269,AOS
20100,1284189,LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,2022-05-26,20100,1284189,AOS
19958,1275117,SPDR SERIES TRUST,2022-05-27,19958,1275117,AOS
19769,1263041,OPTIMUM FUND TRUST,2022-05-19,19769,1263041,AOS
19297,1232885,TIMOTHY PLAN,2022-05-25,19297,1232885,AOS
18964,1211610,JNL SERIES TRUST,2022-05-25,18964,1211610,AOS
18953,1210907,NORTHWESTERN MUTUAL SERIES FUND INC,2022-05-24,18953,1210907,AOS
18819,893903,STONE RIDGE TRUST,2020-07-30,18819,893903,AOS
18553,883865,"AB CAP FUND, INC.",2020-02-10,18553,883865,AOS
18236,1165098,THRIVENT SERIES FUND INC,2022-05-27,18236,1165098,AOS
18174,1161137,Voya VARIABLE PORTFOLIOS INC,2022-05-26,18174,1161137,AOS
18091,1155834,Victory Portfolios II,2022-05-25,18091,1155834,AOS
17500,1118075,GABELLI EQUITY SERIES FUNDS INC,2022-05-31,17500,1118075,AOS
17385,1015806,DFA INVESTMENT DIMENSIONS GROUP INC,2022-06-28,17385,1015806,AOS
17264,1008736,Dimensional ETF Trust,2022-06-27,17264,1008736,AOS
16958,1295930,FRANKLIN FUND ALLOCATOR SERIES,2022-03-24,16958,1295930,AOS
16936,989570,EATON VANCE MUTUAL FUNDS TRUST,2022-06-29,16936,989570,AOS
16776,1150498,VANGUARD SCOTTSDALE FUNDS,2022-04-29,16776,1150498,AOS
16700,1066963,VARIABLE INSURANCE PRODUCTS FUND III,2022-05-25,16700,1066963,AOS
16445,960881,OLD WESTBURY FUNDS INC,2022-06-29,16445,960881,AOS
16217,1036104,GuideStone Funds,2022-05-25,16217,1036104,AOS
16212,1035785,MUTUAL OF AMERICA INVESTMENT CORP,2022-05-09,16212,1035785,AOS
15973,1020515,HC CAPITAL TRUST,2022-05-25,15973,1020515,AOS
15825,1085279,AMERICAN CENTURY ETF TRUST,2022-04-25,15825,1085279,AOS
15633,998792,Voya VARIABLE PORTFOLIOS INC,2022-05-26,15633,998792,AOS
15325,979114,JOHN HANCOCK VARIABLE INSURANCE TRUST,2022-05-26,15325,979114,AOS
15141,967358,JNL SERIES TRUST,2022-05-25,15141,967358,AOS
15040,878787,DFA INVESTMENT DIMENSIONS GROUP INC,2022-06-28,15040,878787,AOS
15025,1030415,John Hancock Funds II,2022-04-27,15025,1030415,AOS
14887,869847,World Funds Trust,2022-06-27,14887,869847,AOS
14802,945700,PACIFIC SELECT FUND,2022-05-27,14802,945700,AOS
14687,626988,AIM INTERNATIONAL MUTUAL FUNDS (INVESCO INTERNATIONAL MUTUAL FUNDS),2020-03-31,14687,626988,AOS
14623,624256,Janus Detroit Street Trust,2020-03-25,14623,624256,AOS
14603,853253,FIRST TRUST EXCHANGE-TRADED ALPHADEX FUND,2022-06-24,14603,853253,AOS
14313,914458,GREAT-WEST FUNDS INC,2022-05-20,14313,914458,AOS
14233,909346,AQR Funds,2022-05-26,14233,909346,AOS
14077,822519,FIDELITY SALEM STREET TRUST,2022-06-24,14077,822519,AOS
13850,884877,BOSTON TRUST WALDEN FUNDS,2022-05-25,13850,884877,AOS
13792,881171,Franklin Templeton ETF Trust,2022-05-10,13792,881171,AOS
13612,795349,FIDELITY SALEM STREET TRUST,2022-06-24,13612,795349,AOS
13507,636450,ICON FUNDS,2020-08-27,13507,636450,AOS
13400,856126,PUTNAM ASSET ALLOCATION FUNDS,2022-05-25,13400,856126,AOS
13365,916572,PROSHARES TRUST,2022-04-28,13365,916572,AOS
13271,847884,SEI INSTITUTIONAL MANAGED TRUST,2022-05-26,13271,847884,AOS
13000,686400,SCM Trust,2020-11-27,13000,686400,AOS
12928,931592,AMERICAN CENTURY VARIABLE PORTFOLIOS INC,2021-08-24,12928,931592,AOS
12700,811403,PUTNAM ASSET ALLOCATION FUNDS,2022-05-25,12700,811403,AOS
12653,808400,THRIVENT SERIES FUND INC,2022-05-27,12653,808400,AOS
12404,724766,iSHARES TRUST,2022-06-27,12404,724766,AOS
12335,845934,COLUMBIA FUNDS SERIES TRUST,2022-04-25,12335,845934,AOS
12212,713547,Advisors' Inner Circle Fund III,2022-06-29,12212,713547,AOS
12128,774858,MAINSTAY VP FUNDS TRUST,2022-05-27,12128,774858,AOS
12081,771855,LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,2022-05-26,12081,771855,AOS
12001,811388,Guggenheim Enhanced Equity Income Fund,2021-05-27,12001,811388,AOS
12000,571680,Highland Funds I,2020-02-28,12000,571680,AOS
11977,699816,FIRST TRUST EXCHANGE-TRADED ALPHADEX FUND,2022-06-24,11977,699816,AOS
11826,864126,COLUMBIA FUNDS SERIES TRUST I,2021-12-23,11826,864126,AOS
11818,690526,TRANSAMERICA FUNDS,2022-06-27,11818,690526,AOS
11664,681528,"AB BOND FUND, INC.",2022-06-24,11664,681528,AOS
11623,679132,J.P. Morgan Exchange-Traded Fund Trust,2022-06-28,11623,679132,AOS
11567,675860,SCHWAB CAPITAL TRUST,2022-06-24,11567,675860,AOS
11556,675217,Catholic Responsible Investments Funds,2022-06-28,11556,675217,AOS
11436,668205,TrimTabs ETF Trust,2022-06-29,11436,668205,AOS
11422,729752,MASSMUTUAL SELECT FUNDS,2022-05-27,11422,729752,AOS
11021,643957,SUNAMERICA SERIES TRUST,2022-06-29,11021,643957,AOS
10894,696018,SPDR SERIES TRUST,2022-05-27,10894,696018,AOS
10891,746905,VANGUARD ADMIRAL FUNDS,2022-04-29,10891,746905,AOS
10666,915676,EQ ADVISORS TRUST,2022-06-08,10666,915676,AOS
10393,664009,ETF Managers Trust,2022-05-27,10393,664009,AOS
10387,663625,"BNY MELLON STOCK INDEX FUND, INC.",2022-05-26,10387,663625,AOS
10237,702053,GUGGENHEIM STRATEGIC OPPORTUNITIES FUND,2022-04-28,10237,702053,AOS
10177,650209,"BlackRock Advantage SMID Cap Fund, Inc.",2022-05-27,10177,650209,AOS
10075,643692,PRINCIPAL VARIABLE CONTRACTS FUNDS INC,2022-05-25,10075,643692,AOS
10072,690738,"iShares, Inc.",2022-04-26,10072,690738,AOS
10045,641775,HC CAPITAL TRUST,2022-05-25,10045,641775,AOS
9984,583365,BLACKROCK FUNDS,2022-06-27,9984,583365,AOS
9955,636025,JNL SERIES TRUST,2022-05-25,9955,636025,AOS
9887,465875,DEUTSCHE DWS VARIABLE SERIES II,2020-08-26,9887,465875,AOS
9850,675513,PROSHARES TRUST,2022-04-28,9850,675513,AOS
9829,627975,Lattice Strategies Trust,2022-05-25,9829,627975,AOS
9763,623758,ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST,2022-05-25,9763,623758,AOS
9700,457064,ICON FUNDS,2020-08-27,9700,457064,AOS
9652,661934,Voya EQUITY TRUST,2022-04-25,9652,661934,AOS
9606,561279,"BNY Mellon Investment Funds IV, Inc.",2022-06-28,9606,561279,AOS
9455,648424,THOMPSON IM FUNDS INC,2022-04-28,9455,648424,AOS
9417,638002,Thrivent Core Funds,2021-06-29,9417,638002,AOS
9350,597372,Voya VARIABLE PORTFOLIOS INC,2022-05-26,9350,597372,AOS
9300,594177,"T. Rowe Price Index Trust, Inc.",2022-05-27,9300,594177,AOS
9161,535277,J.P. Morgan Exchange-Traded Fund Trust,2022-06-28,9161,535277,AOS
9080,530544,iSHARES TRUST,2022-06-27,9080,530544,AOS
9028,576799,NATIONWIDE VARIABLE INSURANCE TRUST,2022-05-19,9028,576799,AOS
9000,575010,LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,2022-05-26,9000,575010,AOS
8970,573093,SA FUNDS INVESTMENT TRUST,2022-05-26,8970,573093,AOS
8656,629464,Franklin Alternative Strategies Funds,2021-10-28,8656,629464,AOS
8624,472768,Collaborative Investment Series Trust,2021-03-01,8624,472768,AOS
8525,605872,EXCHANGE TRADED CONCEPTS TRUST,2021-07-28,8525,605872,AOS
8454,540126,Brighthouse Funds Trust I,2022-05-26,8454,540126,AOS
8226,556160,"Keeley Funds, Inc.",2021-05-27,8226,556160,AOS
8201,523962,LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,2022-05-26,8201,523962,AOS
8090,472699,TRANSAMERICA FUNDS,2022-06-27,8090,472699,AOS
8090,472699,TRANSAMERICA FUNDS,2022-06-27,8090,472699,AOS
8059,552686,Voya GLOBAL EQUITY DIVIDEND  PREMIUM OPPORTUNITY FUND,2022-04-26,8059,552686,AOS
8022,512526,TIMOTHY PLAN,2022-05-25,8022,512526,AOS
8015,468316,"BNY MELLON INDEX FUNDS, INC.",2022-06-28,8015,468316,AOS
7891,428481,NUVEEN INVESTMENT FUNDS INC,2021-03-30,7891,428481,AOS
7812,499109,NATIONWIDE VARIABLE INSURANCE TRUST,2022-05-19,7812,499109,AOS
7736,530535,AIM COUNSELOR SERIES TRUST (INVESCO COUNSELOR SERIES TRUST),2022-04-29,7736,530535,AOS
7503,438400,iSHARES TRUST,2022-06-27,7503,438400,AOS
7423,474255,"BlackRock Variable Series Funds, Inc.",2022-05-25,7423,474255,AOS
7300,466397,LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,2022-05-26,7300,466397,AOS
7296,466141,ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST,2022-05-25,7296,466141,AOS
7272,424903,BLACKROCK FUNDS,2022-06-27,7272,424903,AOS
7226,422215,NATIONWIDE MUTUAL FUNDS,2022-06-22,7226,422215,AOS
7132,455663,AZZAD FUNDS,2022-05-23,7132,455663,AOS
7129,455472,TIMOTHY PLAN,2022-05-25,7129,455472,AOS
7111,487672,SCHWAB STRATEGIC TRUST,2022-04-25,7111,487672,AOS
7074,485135,VALIC Co I,2022-04-27,7074,485135,AOS
7000,447230,GABELLI EQUITY SERIES FUNDS INC,2022-05-31,7000,447230,AOS
6958,406556,THRIVENT MUTUAL FUNDS,2022-06-28,6958,406556,AOS
6931,475328,"Voya Infrastructure, Industrials  Materials Fund",2022-04-26,6931,475328,AOS
6769,322475,Eaton Vance Tax-Managed Buy-Write Strategy Fund,2020-02-24,6769,322475,AOS
6650,456057,PROSHARES TRUST,2022-04-28,6650,456057,AOS
6603,421866,JNL SERIES TRUST,2022-05-25,6603,421866,AOS
6500,445770,SEI INSTITUTIONAL INVESTMENTS TRUST,2022-04-29,6500,445770,AOS
6453,377049,Global X Funds,2022-06-29,6453,377049,AOS
6400,438912,SEI INSTITUTIONAL INVESTMENTS TRUST,2022-04-29,6400,438912,AOS
6377,372608,SUNAMERICA SERIES TRUST,2022-06-29,6377,372608,AOS
6355,406021,DEUTSCHE DWS EQUITY 500 INDEX PORTFOLIO,2022-05-24,6355,406021,AOS
6341,434866,VANGUARD WELLINGTON FUND,2022-04-29,6341,434866,AOS
6298,431917,VANGUARD SCOTTSDALE FUNDS,2022-04-29,6298,431917,AOS
6200,473804,Adviser Managed Trust,2022-03-29,6200,473804,AOS
6175,360805,THRIVENT MUTUAL FUNDS,2022-06-28,6175,360805,AOS
6167,360338,iSHARES TRUST,2022-06-27,6167,360338,AOS
6160,393562,MASSMUTUAL SELECT FUNDS,2022-05-27,6160,393562,AOS
6105,390048,BNY MELLON INVESTMENT PORTFOLIOS,2022-05-26,6105,390048,AOS
6049,353443,Dimensional ETF Trust,2022-06-27,6049,353443,AOS
6041,518620,Columbia Funds Variable Series Trust II,2022-02-24,6041,518620,AOS
6000,383340,Legg Mason Global Asset Management Trust,2022-05-20,6000,383340,AOS
5969,381359,ETF Opportunities Trust,2022-05-25,5969,381359,AOS
5941,379570,GREAT-WEST FUNDS INC,2022-05-20,5941,379570,AOS
5901,377015,Bridge Builder Trust,2022-05-31,5901,377015,AOS
5873,375226,Six Circles Trust,2022-05-31,5873,375226,AOS
5826,372223,PACIFIC SELECT FUND,2022-05-27,5826,372223,AOS
5767,368454,Krane Shares Trust,2022-05-31,5767,368454,AOS
5693,363726,PACIFIC SELECT FUND,2022-05-27,5693,363726,AOS
5624,328610,RUSSELL INVESTMENT CO,2022-06-29,5624,328610,AOS
5558,355101,THRIVENT SERIES FUND INC,2022-05-27,5558,355101,AOS
5526,353056,PROFESSIONALLY MANAGED PORTFOLIOS,2022-05-25,5526,353056,AOS
5400,370332,FIDELITY ADVISOR SERIES I,2022-04-27,5400,370332,AOS
5324,291862,Collaborative Investment Series Trust,2021-03-01,5324,291862,AOS
5306,363885,MORGAN STANLEY PATHWAY FUNDS,2022-04-28,5306,363885,AOS
5279,362034,ALPS ETF Trust,2022-04-29,5279,362034,AOS
5264,307576,iSHARES TRUST,2022-06-27,5264,307576,AOS
5200,356616,SSGA FUNDS,2022-04-27,5200,356616,AOS
5200,274560,KP Funds,2020-11-25,5200,274560,AOS
